criterion,thr0,thr1,n_total,n_ok,n_fail,accuracy,exit0_pct,exit1_pct,offload_pct,final_pct,client_rtt_avg,client_rtt_p95,total_edge_avg,total_edge_p95,edge_infer_avg,edge_infer_p95,edge_cloud_rtt_avg,edge_cloud_rtt_p95,cloud_compute_avg,cloud_compute_p95,total_cloud_avg,total_cloud_p95,edge_energy_kwh,edge_co2_kg,cloud_energy_kwh,cloud_co2_kg
maxprob,0.55,0.75,1000,994,6,0.8601609657947686,77.46478873239437,3.6217303822937628,18.91348088531187,0.0,317.3940696780418,606.4322302499932,265.31789233248446,553.5054591717198,201.7858652585379,244.74383085034788,277.0173004085317,358.6928281001747,7.379982978586377,10.835060000317753,,,0.0007102841460118769,0.00023906317615980148,0.01877145321166712,0.0063179830932636495
maxprob,0.55,0.85,1000,992,8,0.8568548387096774,77.41935483870968,1.310483870967742,21.27016129032258,0.0,360.3184097852364,792.364574550265,293.51620579179706,707.7703761169682,201.8550318302474,245.96302036661655,376.59509408274465,828.5217904485762,8.347819905332372,11.164399998961017,,,0.0008034561062674325,0.00027042243551085484,0.022368286790556042,0.0075285837582446105
maxprob,0.55,0.92,1000,992,8,0.8558467741935484,77.31854838709677,0.5040322580645161,22.177419354838708,0.0,352.8305769788506,690.3339015494563,297.63220980737145,627.0356722176075,202.8764374633958,245.66989846061915,374.08748189707035,712.6169263385233,8.164546818261442,11.06311999810714,,,0.0008026775221600128,0.0002701603843434842,0.02259420986277807,0.0076046235903546675
maxprob,0.55,0.96,1000,992,8,0.8568548387096774,77.52016129032258,0.0,22.47983870967742,0.0,335.2567395604674,642.1867893983289,280.82925497390886,590.6542623182758,202.34630227036354,245.79234649427235,296.9989922970968,459.3559363391249,8.286158744262865,11.091779998969287,,,0.0007873327073191856,0.0002649957186332476,0.022206513977777714,0.007474135235556557
maxprob,0.55,0.99,1000,992,8,0.8568548387096774,77.31854838709677,0.0,22.681451612903224,0.0,337.0635091440774,650.3193429998645,280.8150317071141,596.6811602702364,203.02329903783937,246.73104307148606,291.5832126575212,437.3471066355704,8.365449777823718,11.343620003026443,,,0.0007973152485609864,0.00026835558246916547,0.02256309539500023,0.0075941512694768076
maxprob,0.65,0.75,1000,994,6,0.8752515090543259,66.29778672032192,9.054325955734406,24.647887323943664,0.0,337.353682479808,629.7125146504185,286.9808641121811,578.6352160153909,207.8181392788677,246.70985704287887,274.92974164838694,356.445859093219,8.277424081535749,11.218419999931937,,,0.000727026351119343,0.0002446981671016418,0.01971488561999954,0.006635517912665726
maxprob,0.65,0.85,1000,991,9,0.8718466195761857,66.29667003027245,4.339051463168516,29.36427850655903,0.0,360.539938957559,641.4559180011565,309.38829867052726,585.416630608961,208.88615551796545,248.35947528481483,302.66783714512064,467.5002850126475,8.668310652977844,11.220100001082756,,,0.0008183237843111188,0.0002754265093807305,0.02307874111805549,0.007767704213068409
maxprob,0.65,0.92,1000,993,7,0.8710976837865055,66.26384692849949,1.2084592145015105,32.527693856998994,0.0,363.4024077240471,629.119608199835,312.4592288646731,576.1507201008499,210.02637437044868,249.25495190545917,278.92169334432657,345.9931714460253,8.380191640866396,11.295329999484236,,,,,0.022367074486388437,0.007528175728181703
maxprob,0.65,0.96,1000,993,7,0.8721047331319235,66.26384692849949,0.10070493454179255,33.635448136958715,0.0,365.09511651561485,626.4254829999118,313.12457090740776,574.9135913327336,210.15142654758117,251.74753610044718,272.2413593019264,351.02693126536906,8.346494011975066,11.107799999626875,,,0.0007770195858164694,0.0002615245900765924,0.02176358748444434,0.00732505769398937
maxprob,0.65,0.99,1000,991,9,0.8718466195761857,66.19576185671039,0.0,33.8042381432896,0.0,383.2325757062684,631.7571170002338,331.3561896521008,578.2209257595241,210.44001333306494,250.42775296606123,322.92542297587687,376.0367896873504,8.370942387941863,11.154549999628216,,,0.0008566345256224392,0.0002883209088268469,0.02455665127611149,0.00826513034660595
maxprob,0.75,0.75,1000,992,8,0.8941532258064516,53.326612903225815,17.43951612903226,29.233870967741936,0.0,357.0954863165415,600.9954237506463,305.5292485298724,551.4020492788403,217.34260530595952,252.58479793556032,262.5216498039663,352.1534989820793,8.444413448160049,11.131859997840365,,,0.0007938159245789915,0.0002671778009992495,0.02188841687833281,0.007367072022407988
maxprob,0.75,0.85,1000,993,7,0.8902316213494461,52.87009063444109,10.171198388721049,36.958710976837864,0.0,384.4137929536758,622.1341149997897,332.42754340462557,570.7877253182232,218.03825587542562,255.46905845403668,278.1654537860964,341.97247033007443,8.351516621158781,11.031300002650823,,,0.0008255120225785485,0.00027784588348735243,,
maxprob,0.85,0.85,1000,1000,0,0.905,40.2,17.8,42.0,0.0,414.9346347009741,745.9489166005369,349.64394717104733,661.3760291133075,224.9976526000537,259.66253355145454,267.5923718583016,486.540338397026,8.654715237935307,11.135729997113229,,,0.0007136127001535312,0.00024018348094147462,0.020049515469444727,0.00674814561961289
maxprob,0.75,0.92,1000,1000,22,0.89,53.0,3.2,43.8,0.0,435.14293466101293,768.1412717494819,370.4622448910959,666.2074102088806,218.7160882614553,256.26284279860556,317.9671653104121,929.6639143023632,8.387955251237145,10.959850002109306,,,,,,
maxprob,0.75,0.96,1000,1000,17,0.89,53.0,0.5,46.5,0.0,379.5954976170251,604.7368902494782,327.2385991252959,551.5302623156458,217.92162796249613,254.19939130079,209.99364535554602,310.0214444100857,8.734147311723415,11.213479998696123,,,,,,
maxprob,0.75,0.99,1000,1000,10,0.89,53.0,0.0,47.0,0.0,383.6836284609817,607.551523199254,327.1709995251149,551.386495353654,217.05003414209932,254.4734919676557,209.13849064901947,309.60823106579477,8.602912766063843,11.211864999859245,,,,,,
maxprob,0.85,0.92,1000,1000,1022,0.904,40.2,7.3999999999999995,52.400000000000006,0.0,414.23173939212217,629.5087735985362,347.60859036212787,565.7712979009374,223.31625388097018,254.90508165676147,211.61259513593612,324.1022582864388,8.490723091539662,11.228775005656644,,,,,,
maxprob,0.85,0.96,1000,1000,2000,0.904,40.2,1.7999999999999998,57.99999999999999,0.0,414.75622573799774,543.2286372484668,355.9943490540609,478.86152991559356,224.36493836296722,253.35407149977982,205.14063374460514,227.45312887709582,8.389942068895145,11.213205001695313,,,0.0007336491630574151,0.00024692723340688646,0.020905865865832814,0.007036370897926815
